City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Lagoa,PT,73.56,clear sky,39.05,-27.98,Casa Das Faias
105,Kitchener,CA,89.01,few clouds,43.43,-80.51,The Walper Hotel
106,Cam Ranh,VN,82.4,few clouds,11.92,109.16,OYO 598 Peony Hotel
111,Delijan,IR,73.72,clear sky,33.99,50.68,ایزوگام آسیاگستردلیجان
114,Acarau,BR,80.37,clear sky,-2.89,-40.12,castelo pizzaria
117,Samarai,PG,75.29,overcast clouds,-10.62,150.67,Nuli Sapi
122,Georgetown,MY,80.01,few clouds,5.41,100.34,Cititel Penang
125,Rafraf,TN,80.6,clear sky,37.19,10.18,Les Jardins de la Mer Ghar el Melh
126,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
127,Hasaki,JP,75.2,mist,35.73,140.83,Inubosaki Kanko Hotel
128,Marica,BR,71.6,few clouds,-22.92,-42.82,Marica Hills
129,Muisne,EC,82.4,broken clouds,0.6,-80.03,Quinta Samay
135,Broome,US,84.0,thunderstorm,42.25,-75.83,Chenango Valley State Park
142,Kavaratti,IN,82.17,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
144,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
145,Bayir,TR,75.2,clear sky,37.27,28.22,Buban Otel
147,Pochutla,MX,86.0,overcast clouds,15.74,-96.47,Hotel Posada San Jose
149,Gazanjyk,TM,76.32,clear sky,39.24,55.52,Railway motel
152,Shingu,JP,74.26,clear sky,33.73,135.98,Shingu UI Hotel
154,Martapura,ID,73.4,clear sky,-3.42,114.85,Montana Hotel Syariah
157,Awbari,LY,82.72,clear sky,26.59,12.78,فندق أوباري
158,Touros,BR,80.6,few clouds,-5.2,-35.46,INN NEW HORIZON
162,Nago,JP,80.6,heavy intensity rain,26.59,127.98,Hotel Yugaf Inn Okinawa
164,Meulaboh,ID,77.34,overcast clouds,4.14,96.13,Kost Pria
165,Ahtopol,BG,75.2,scattered clouds,42.1,27.95,Agata Beach Hotel
167,Keti Bandar,PK,83.53,overcast clouds,24.14,67.45,Haji laloo memon house
175,Sebastian,US,89.6,few clouds,35.17,-94.27,Charleston Arkansas
178,Bengkulu,ID,76.21,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
183,Dayong,CN,82.4,clear sky,25.02,118.29,Haiyue Express Hotel
185,Kavieng,PG,78.26,light rain,-2.57,150.8,Nusa Island Retreat
187,Manta,EC,77.0,broken clouds,-0.95,-80.73,Balandra Hotel
189,Behshahr,IR,73.17,overcast clouds,36.69,53.55,Abbas Abad Hotel & Restaurant
